molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,document_chembl_id
CHEMBL8946,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,AADCDMQTJNYOSS-LBPRGKRZSA-N,9.8633,CHEMBL3259695
CHEMBL1256170,O=C(CCCN1CCC(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccc1CCc1ccc(cc1)CC2,AADWBQLQKGQDIM-UHFFFAOYSA-N,7.645,CHEMBL1255217
CHEMBL3950977,O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,AAELEHAFAYIZRH-KDURUIRLSA-N,8.7933,CHEMBL5725520
CHEMBL3946995,O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,AAELEHAFAYIZRH-WGSAOQKQSA-N,8.2075,CHEMBL3872208
CHEMBL169322,CC(C)CN1CCO[C@@H]2c3cc4c(cc3CC[C@H]21)CCO4,AAIDTVFHOXBFSJ-SJLPKXTDSA-N,5.3,CHEMBL1129892
CHEMBL1080117,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(Cl)cc5)C4)n3C)cccc2n1,AAONJNLMLWRZJE-UHFFFAOYSA-N,6.4,CHEMBL1153718
CHEMBL3697990,CC(C)[C@H](O)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,AAPCMUAAQFZHRZ-IPJJNNNSSA-N,7.13,CHEMBL3639169
CHEMBL3697989,CC(C)[C@@H](O)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc4c3OCO4)CC2)CC1,AAPCMUAAQFZHRZ-WOIUINJBSA-N,7.04,CHEMBL3639169
CHEMBL3394262,CCCN(CCCNc1nc(Oc2ccc(CCNc3nc(N)n4nc(-c5ccco5)nc4n3)cc2)nc(N2CCOCC2)n1)CCc1cccc2c1CC(=O)N2.O=CO,AAPKSMKRZNHCHJ-UHFFFAOYSA-N,6.51,CHEMBL3392981
CHEMBL4548632,COc1ccc(CN2CC=C(c3c[nH]c4ccc(OC(C)C)cc34)CC2)cc1,AAPNNVKAQPYKAA-UHFFFAOYSA-N,6.78,CHEMBL4364325
CHEMBL3958494,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccccc3)C2)n1C,AAPXNHMQKBDDJN-AVRDEDQJSA-N,6.0433,CHEMBL3853329
CHEMBL3913062,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@@H]3c3ccccc3)C2)n1C,AAPXNHMQKBDDJN-GCJKJVERSA-N,5.6467,CHEMBL3853329
CHEMBL3983937,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@H]3c3ccccc3)C2)n1C,AAPXNHMQKBDDJN-PGRDOPGGSA-N,6.135,CHEMBL3853329
CHEMBL3901211,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccccc3)C2)n1C,AAPXNHMQKBDDJN-XMSQKQJNSA-N,5.765,CHEMBL3853329
CHEMBL5862779,Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(CC3c3ccccc3)C2)n1C,AAPXNHMQKBDDJN-YSYXNDDBSA-N,5.92,CHEMBL5726767
CHEMBL4860754,COc1ccccc1N1CCN(CCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,AAQUEQYOKSKIDA-UHFFFAOYSA-N,7.7,CHEMBL4819072
