molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,document_chembl_id
CHEMBL5186274,Cc1cc(-c2n[nH]c3ccc(N[C@@H]4CCOc5cc(C#N)ccc54)cc23)ccn1,AFCXAERUVDFGQF-HXUWFJFHSA-N,6.8467,CHEMBL5154686
CHEMBL3914578,CNc1nc(Nc2cnn(CC(C)c3ccn(C)n3)c2C)ncc1C(F)(F)F,AFFJLGFSIVGORV-UHFFFAOYSA-N,7.375,CHEMBL3886419
CHEMBL5824800,Cc1cc(C#N)cnc1C(=O)Nc1ccc2[nH]nc(N3CCC3)c2c1,AFRXPHJDJRVEOJ-UHFFFAOYSA-N,5.76,CHEMBL5729282
CHEMBL6033920,FC1(F)COCCC1n1c(Cn2cc(C3CC3)nn2)nc2cnc3ccc(Cl)cc3c21,AFSJECQGCYZDGF-UHFFFAOYSA-N,8.195,CHEMBL5729083
CHEMBL3967517,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCN(CCO)CC4)ncn3)c2c1,AFUHPGFCXLYQGH-UHFFFAOYSA-N,8.13,CHEMBL3886204
CHEMBL3910711,Cc1nc(N2CCOCC2)c2c(-c3cccc(C#N)c3F)c[nH]c2n1,AFVZXTFKZIXUDK-UHFFFAOYSA-N,6.98,CHEMBL3886286
CHEMBL3643955,O=C(c1ccc(Nc2ncc(C(F)(F)F)c(N3CCCC3)n2)c(Br)c1)N1CCOCC1,AFXQEBNAJLJOIF-UHFFFAOYSA-N,7.72,CHEMBL3639246
CHEMBL5286893,CC1=C(C(=O)Nc2ccc3[nH]nc(-c4ccncc4)c3c2)[C@@H](C)n2nnnc2N1C,AGBHROMNNPQXGK-GFCCVEGCSA-N,7.065,CHEMBL5244270
CHEMBL5813745,COCC1CN(c2cc(-c3n[nH]c4cc(F)c(OC5(C)CC5)cc34)ncn2)CCO1,AGBNHFOZICNSBI-UHFFFAOYSA-N,8.8,CHEMBL5725245
CHEMBL2171738,CNc1nc(Nc2ccccc2OC)ncc1Cl,AGIGZRMODPEFNF-UHFFFAOYSA-N,8.22,CHEMBL2169739
CHEMBL4760344,CCOc1nc(Nc2ccc(C(=O)N3C[C@@H](C)O[C@@H](C)C3)cc2OC)nc2[nH]ccc12,AGWWXSQXUZZVCL-OKILXGFUSA-N,6.95,CHEMBL4715821
CHEMBL5901220,C[C@@H]1C[C@H](n2c(Cc3cnc(C(F)(F)F)cn3)nc3cnc4ccc(C#N)cc4c32)CCO1,AGXYYXCIONRLQO-CZUORRHYSA-N,7.895,CHEMBL5729083
CHEMBL2347821,CC(C)Nc1c(C2=NCCN2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,AHCANRCOOSTQSQ-UHFFFAOYSA-N,4.045,CHEMBL2346515
CHEMBL5575921,COc1ccc2cc1Nc1ncc(C(F)(F)F)c(n1)NCCCCN(C)C2=O,AHEQQLKNUGMEJH-UHFFFAOYSA-N,8.93,CHEMBL5543171
CHEMBL5073457,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3ccn(C)n3)cc2n1C,AHGYJAJOWBWPKC-LLVKDONJSA-N,7.3575,CHEMBL5038598
CHEMBL2348970,c1ccc(Sc2ccc3nnc(-c4cncs4)n3n2)cc1,AHJLBCRMKRMIQJ-UHFFFAOYSA-N,6.825,CHEMBL2346543
